Name	CAS nr	εr	nD	Kirkwood	f(nD)	g(εr)
2,6-dimethyl-4-heptanone	108-83-8	9.9	1.412	0.428	0.332	0.817
2,6-dimethylheptane	1072-05-5	2.0	1.401	0.199	0.325	0.331
2,6-dimethylpyridine	108-48-5	7.3	1.497	0.404	0.383	0.760
2,7-dimethyloctane	1072-16-8	2.0	1.410	0.198	0.331	0.330
2-bromopyridine	109-04-6	24.0	1.572	0.469	0.424	0.920
2-butanol	78-92-2	16.6	1.395	0.456	0.321	0.886
2-butanone	78-93-3	18.5	1.379	0.461	0.311	0.897
2-butanone oxime	96-29-7	3.4	1.443	0.308	0.351	0.545
2-butoxyethanol	111-76-2	5.3	1.417	0.371	0.335	0.683
2-chloro-2-methylpropane	507-20-0	11.0	1.386	0.434	0.315	0.833
2-chloroethanol	107-07-03	25.0	1.442	0.471	0.350	0.923
2-cyanopyridine	100-70-9	93.8	1.529	0.492	0.401	0.979
2-ethoxyethanol	110-80-5	5.3	1.405	0.371	0.328	0.683
2-fluoropyridine	372-48-5	37.3	1.468	0.480	0.366	0.948
2-heptanone	110-43-0	12.0	1.408	0.440	0.329	0.846
2-hexanone	591-78-6	14.6	1.401	0.450	0.325	0.871
2-iodopropane	75-30-9	8.2	1.499	0.414	0.384	0.782
2-methoxy-2-methylpropane	1634-04-4	4.5	1.369	0.350	0.304	0.636
2-methoxyethanol	109-86-4	16.9	1.402	0.457	0.326	0.888
2-methoxyphenol	90-5-1	11.7	1.544	0.439	0.409	0.843
2-methyl-1-propanol	78-83-1	16.7	1.396	0.456	0.322	0.887
2-methyl-2-butanol	75-85-4	5.8	1.405	0.381	0.328	0.707
2-methyl-2-nitropropane	594-70-7	23.7	1.397	0.469	0.322	0.919
2-methyl-2-phenylpropane	98-06-6	2.4	1.493	0.240	0.380	0.408
2-methyl-2-propanamine	74-64-9	4.3	1.379	0.344	0.311	0.623
2-methyl-2-propanol	75-65-0	10.9	1.387	0.434	0.316	0.832
2-methylbenzonitrile	529-19-1	18.5	1.528	0.461	0.400	0.897
2-methylcyclohexanol	583-59-5	13.5	1.462	0.446	0.363	0.862
2-methylpropanenitrile	78-82-0	20.8	1.372	0.465	0.306	0.908
2-methylpropanoic acid	79-31-2	2.6	1.393	0.258	0.320	0.444
2-methylpropyl acetate	110-19-0	5.6	1.390	0.377	0.318	0.697
2-methylpropylamine	78-81-9	4.4	1.397	0.347	0.322	0.630
2-methylpyridine	109-06-8	9.8	1.501	0.427	0.385	0.815
2-methyltetrahydrofuran	96-47-9	7.0	1.407	0.400	0.329	0.749
2-nitropropane	79-46-9	25.5	1.392	0.471	0.319	0.925
2-octanone	111-13-7	10.4	1.415	0.431	0.334	0.824
2-pentanone	107-87-9	15.5	1.390	0.453	0.318	0.878
2-phenylacetonitrile	140-29-4	18.3	1.523	0.460	0.398	0.896
2-phenylethanol	60-12-8	13.0	1.532	0.444	0.402	0.857
2-propanol	67-63-0	19.9	1.377	0.463	0.310	0.904
2-propanone	67-41-1	20.7	1.359	0.465	0.297	0.908
2-propen-1-amine	107-11-9	6.0	1.421	0.384	0.338	0.713
2-propene-1-ol	107-18-6	21.0	1.412	0.465	0.332	0.909
2-propenenitrile	107-13-1	33.0	1.391	0.478	0.319	0.941
2-propyn-1-amine	2450-71-7	6.7	1.448	0.395	0.354	0.739
2-undecanone	112-12-9	8.4	1.429	0.416	0.343	0.787
3,3-dimethyl-2-butanone	75-97-8	12.7	1.397	0.443	0.322	0.854
3,4-dimethylpyridine	583-58-4	11.5	1.511	0.437	0.391	0.840
3,6,9-trioxaundecane	112-36-7	5.7	1.411	0.379	0.331	0.701
3-bromopropene	106-95-6	7.0	1.470	0.400	0.367	0.750
3-bromopyridine	626-55-1	9.9	1.570	0.428	0.423	0.816
3-chloropropene	107-05-1	8.2	1.416	0.414	0.334	0.783
3-chloropropyne	624-65-7	7.6	1.434	0.407	0.346	0.766
3-heptanone	106-35-4	12.9	1.409	0.444	0.330	0.856
3-iodopropene	556-56-9	6.1	1.554	0.386	0.414	0.718
3-isothiocyanatopropene	57-06-7	17.2	1.527	0.458	0.400	0.890
3-methyl-1-butanol	123-51-3	15.2	1.401	0.452	0.325	0.877
3-methyl-2-butanone	563-80-4	16.6	1.388	0.456	0.317	0.886
3-methylbutanoic acid	503-74-2	2.6	1.403	0.258	0.326	0.444
3-methylbutyl acetate	123-92-2	5.6	1.400	0.377	0.324	0.697
3-methylcyclohexanol	591-23-1	12.3	1.458	0.441	0.360	0.850
3-methyloxazolidin-2-one	19836-78-3	79.3	1.454	0.491	0.358	0.975
3-methylphenol	108-39-4	11.5	1.540	0.438	0.407	0.840
3-methylpyridine	108-99-6	11.1	1.507	0.435	0.388	0.835
3-methylsulfolane	872-93-5	29.4	1.477	0.475	0.371	0.934
3-pentanone	96-22-0	17.3	1.392	0.458	0.319	0.891
4,5-dichloro-1,3-dioxolan-2-one	3967-55-3	34.4	1.463	0.478	0.363	0.943
4-heptanone	123-19-3	12.6	1.407	0.443	0.329	0.853
4-methyl-2-oxo-1,3-dioxolane	108-32-7	64.9	1.421	0.489	0.338	0.970
4-methyl-2-pentanone	108-10-1	13.1	1.396	0.445	0.322	0.858
4-methylanisole	104-93-8	4.0	1.512	0.334	0.391	0.602
4-methylcyclohexanol	589-91-3	13.3	1.456	0.446	0.359	0.860
4-methylpentanenitrile	542-54-1	15.0	1.406	0.452	0.328	0.875
4-methylpyridine	108-89-4	12.3	1.505	0.441	0.387	0.849
5-nonanone	502-56-7	10.6	1.420	0.432	0.337	0.828
acetaldoxime	107-29-9	3.4	1.426	0.308	0.341	0.545
acetic acid	64-19-7	6.2	1.372	0.388	0.306	0.722
acetic anhydride	108-24-7	20.0	1.390	0.463	0.318	0.905
