Name	CAS nr	εr	nD	Kirkwood	f(nD)	g(εr)
perfluoro-n-heptane	355-57-9	1.8	1.261	0.168	0.228	0.275
perfluoro-n-octane	307-34-6	1.8	1.284	0.175	0.245	0.288
perfluoromethylcyclohexane	355-02-2	1.9	1.300	0.182	0.257	0.301
perfluorotributylamine	311-89-7	1.9	1.291	0.188	0.250	0.310
perhydrofluorene	5744-03-6	2.3	1.502	0.233	0.386	0.396
phenol	108-95-2	10.0	1.542	0.429	0.408	0.818
phenyl acetate	122-79-2	5.2	1.503	0.369	0.386	0.679
phosphorus oxychloride	10025-87-3	13.5	1.460	0.446	0.361	0.862
piperidine	110-89-4	5.9	1.453	0.383	0.357	0.710
propanal	123-38-6	18.5	1.380	0.461	0.311	0.897
propanenitrile	107-12-0	27.7	1.366	0.473	0.302	0.930
propanoic acid	79-09-4	3.1	1.386	0.292	0.315	0.512
propanol	71-23-8	20.3	1.386	0.464	0.315	0.906
propyl acetate	109-60-4	6.3	1.384	0.390	0.314	0.726
propyl formate	110-74-7	7.7	1.377	0.409	0.309	0.771
propyl pentanoate	141-06-0	4.0	1.407	0.333	0.329	0.600
pyridine	110-86-1	12.4	1.510	0.442	0.390	0.851
pyrrole	109-97-7	7.5	1.509	0.406	0.390	0.765
quadricyclane	278-06-8	2.3	1.485	0.231	0.376	0.392
quinoline	91-22-5	9.0	1.626	0.421	0.451	0.800
sulfolane	126-33-0	44.0	1.471	0.483	0.368	0.956
sulfur monochloride	10025-67-9	4.8	1.650	0.358	0.463	0.655
tetrachloroethene	127-18-4	2.3	1.504	0.232	0.387	0.394
tetrachloromethane	56-23-5	2.2	1.460	0.226	0.361	0.382
tetradecafluorohexane	355-42-0	1.6	1.251	0.138	0.220	0.222
tetrahydrofuran	109-99-9	7.6	1.407	0.407	0.329	0.767
tetrahydronaphthalene	119-64-2	2.8	1.539	0.271	0.406	0.469
tetramethylsilane	75-76-3	1.9	1.359	0.190	0.297	0.315
thiane	1613-51-0	6.6	1.506	0.394	0.388	0.736
thioanisole	100-68-5	4.8	1.585	0.357	0.431	0.653
thiolane	110-01-0	8.6	1.503	0.418	0.386	0.792
thiolane-1-oxide	1600-44-8	42.8	1.520	0.483	0.396	0.954
thiophene	110-02-1	2.7	1.529	0.266	0.401	0.460
toluene	108-88-3	2.4	1.497	0.240	0.383	0.408
trans,trans,cis-1,5,9-cyclododecatriene	2765-29-9	2.4	1.507	0.242	0.389	0.413
trans-1,2-dichloroethene	156-60-5	2.3	1.446	0.229	0.353	0.388
triacetin	102-76-1	7.0	1.428	0.400	0.342	0.750
tribromomethane	75-25-2	4.4	1.595	0.347	0.436	0.630
tributyl phosphate	126-73-8	8.3	1.424	0.415	0.339	0.785
tributylamine	102-82-9	2.3	1.428	0.231	0.342	0.392
trichloroacetaldehyde	75-87-6	4.9	1.457	0.362	0.360	0.663
trichloroacetic anhydride	4124-31-6	5.0	1.484	0.364	0.375	0.667
trichloroethanenitrile	545-06-2	7.7	1.440	0.409	0.349	0.771
trichloroethene	79-01-6	3.4	1.475	0.309	0.370	0.548
trichlorofluoromethane	75-69-4	2.4	1.383	0.240	0.313	0.408
trichloromethane	67-66-3	4.8	1.446	0.359	0.353	0.656
tricyclo[5.2.1.02,6]deca-3,8-diene	77-73-6	2.5	1.511	0.249	0.391	0.427
triethyl phosphate	78-40-0	13.0	1.405	0.444	0.328	0.857
triethylamine	121-44-8	2.4	1.401	0.243	0.325	0.415
trifluoroacetic acid	76-05-1	8.6	1.285	0.417	0.246	0.791
trifluoromethylbenzene	98-08-8	9.4	1.415	0.424	0.334	0.808
trimethyl phosphate	512-56-1	21.3	1.395	0.466	0.321	0.910
tripropyl phosphate	513-08-6	10.9	1.417	0.434	0.335	0.832
undecane	1120-21-4	2.0	1.417	0.201	0.335	0.334
undecanenitrile	2244-07-7	10.9	1.433	0.434	0.345	0.831
vinyl acetate	108-05-4	2.3	1.396	0.232	0.322	0.394
vinyl benzene	100-42-5	2.4	1.546	0.244	0.410	0.417
water	7732-18-5	80.1	1.333	0.491	0.280	0.975
DMSO	67-68-5	46.7	1.479	0.484	0.373	0.958
DMS	75-18-3	6.3	1.435	0.390	0.346	0.726
THF	109-99-9	7.6	1.407	0.407	0.329	0.767
DCM	75-09-2	8.9	1.424	0.420	0.340	0.799
DMF	68-12-2		38	1.430	0.480	0.177	0.949
TEA	121-44-8	2.4	1.401	0.243	0.325	0.415
